latitude,longitude,acq_date,acq_time,confidence,frp,year
-34.45902,150.8804,01/08/2019,246,n,5.8,2019
-42.36105,146.92848,01/08/2019,425,n,1.9,2019
-42.37209,147.48753,01/08/2019,425,n,6,2019
-31.70424,151.07483,01/08/2019,427,n,4.4,2019
-32.98625,146.45729,01/08/2019,427,n,3.4,2019
-31.20132,151.89873,01/08/2019,427,n,5.5,2019
-30.85534,150.71831,01/08/2019,427,n,4.4,2019
-34.14386,147.76584,01/08/2019,427,n,5.8,2019
-31.20573,151.90051,01/08/2019,427,n,5,2019
-31.58608,147.08157,01/08/2019,427,n,3.7,2019
-33.54812,147.80945,01/08/2019,427,n,3.8,2019
-31.47886,148.79022,01/08/2019,427,n,4.1,2019
-31.79152,148.49356,01/08/2019,427,n,19.5,2019
-29.07214,148.51381,01/08/2019,428,n,2.8,2019
-28.42093,148.9931,01/08/2019,428,n,6.5,2019
-24.65783,151.38831,01/08/2019,429,n,9.4,2019
-26.05043,129.41141,01/08/2019,430,n,6,2019
-22.26542,124.88699,01/08/2019,431,h,16.9,2019
-22.938,128.19125,01/08/2019,431,h,6.6,2019
-19.43393,146.53204,01/08/2019,431,n,4.6,2019
-19.43698,146.54437,01/08/2019,431,n,9,2019
-22.93736,128.19777,01/08/2019,431,n,4.5,2019
-20.73371,139.47806,01/08/2019,431,l,5.1,2019
-19.49202,146.52611,01/08/2019,431,n,2.3,2019
-19.44792,146.54651,01/08/2019,431,n,3.6,2019
-19.47269,146.5101,01/08/2019,431,n,9.2,2019
-18.6139,145.71823,01/08/2019,431,n,1.9,2019
-19.40081,146.50095,01/08/2019,431,n,4.4,2019
-20.59419,146.41304,01/08/2019,431,n,6.4,2019
-20.7351,139.47429,01/08/2019,431,n,4.8,2019
-19.73397,147.17842,01/08/2019,431,h,43,2019
-19.43641,146.52045,01/08/2019,431,n,9.4,2019
-22.25873,124.89169,01/08/2019,431,n,7.8,2019
-19.43474,146.52826,01/08/2019,431,n,9.5,2019
-19.73958,147.17975,01/08/2019,431,h,23.8,2019
-19.43557,146.52435,01/08/2019,431,h,9.5,2019
-19.49277,146.52255,01/08/2019,431,n,2.3,2019
-22.26459,124.89747,01/08/2019,431,n,21,2019
-19.48107,146.47046,01/08/2019,431,n,6.2,2019
-22.26417,124.90273,01/08/2019,431,n,5.8,2019
-15.76181,137.07964,01/08/2019,432,n,11.2,2019
-16.13939,136.70256,01/08/2019,432,n,6.9,2019
-16.14055,136.69521,01/08/2019,432,n,10.7,2019
-16.1299,136.69722,01/08/2019,432,n,4.7,2019
-16.14333,136.69945,01/08/2019,432,n,10.7,2019
-16.15465,136.6712,01/08/2019,432,n,10.5,2019
-14.8475,144.35515,01/08/2019,432,n,5.7,2019
-16.13997,136.69888,01/08/2019,432,n,10.7,2019
-15.75861,137.05603,01/08/2019,432,n,21.9,2019
-15.76099,137.04105,01/08/2019,432,n,20.2,2019
-16.12121,136.64304,01/08/2019,432,l,3.7,2019
-14.2247,141.74045,01/08/2019,432,n,5.4,2019
-14.9563,144.87779,01/08/2019,432,n,2.5,2019
-16.14814,136.62498,01/08/2019,432,h,16.1,2019
-16.12932,136.70088,01/08/2019,432,n,3.5,2019
-15.00153,144.66554,01/08/2019,432,n,4.9,2019
-14.94822,144.80608,01/08/2019,432,n,2.6,2019
-14.86758,144.41663,01/08/2019,432,n,5.4,2019
-14.98912,144.91933,01/08/2019,432,n,2.5,2019
-14.85977,144.40164,01/08/2019,432,n,22.1,2019
-14.98108,144.82138,01/08/2019,432,n,2.2,2019
-14.95495,144.85634,01/08/2019,432,n,2.6,2019
-16.11288,136.63039,01/08/2019,432,n,9.5,2019
-16.16261,136.64243,01/08/2019,432,n,8.9,2019
-14.85009,144.31221,01/08/2019,432,l,7,2019
-15.78446,137.00279,01/08/2019,432,h,11.1,2019
-14.84799,144.35097,01/08/2019,432,n,6.3,2019
-14.85726,144.3867,01/08/2019,432,n,2.5,2019
-14.86432,144.40591,01/08/2019,432,h,22.1,2019
-15.00364,144.95813,01/08/2019,432,n,1.7,2019
-16.14159,136.71046,01/08/2019,432,h,10.4,2019
-16.15129,136.67064,01/08/2019,432,n,10.5,2019
-14.95962,144.86079,01/08/2019,432,n,2.6,2019
-15.02897,144.83072,01/08/2019,432,n,4.3,2019
-14.39112,141.59142,01/08/2019,432,n,4.3,2019
-14.34772,143.57346,01/08/2019,432,n,7.8,2019
-14.84615,144.30486,01/08/2019,432,h,15.5,2019
-15.36019,142.24225,01/08/2019,432,n,10.6,2019
-15.76359,137.06841,01/08/2019,432,n,5.3,2019
-14.93572,144.86958,01/08/2019,432,n,5.6,2019
-14.77157,141.68262,01/08/2019,432,n,1.2,2019
-15.35636,142.24991,01/08/2019,432,n,6.8,2019
-16.14536,136.62076,01/08/2019,432,n,16.1,2019
-15.75681,137.06725,01/08/2019,432,n,5.9,2019
-14.84685,144.35844,01/08/2019,432,n,5.1,2019
-16.1091,136.62186,01/08/2019,432,n,23.3,2019
-16.14871,136.62132,01/08/2019,432,n,16.1,2019
-14.90974,144.83282,01/08/2019,432,n,4.8,2019
-15.76497,137.03787,01/08/2019,432,l,3.9,2019
-15.78911,137.06116,01/08/2019,432,n,10.7,2019
-14.34744,143.5762,01/08/2019,432,n,6,2019
-14.93052,144.70064,01/08/2019,432,n,1.8,2019
-14.84402,144.34372,01/08/2019,432,n,12.4,2019
-16.13268,136.70145,01/08/2019,432,n,17,2019
-14.32487,143.50545,01/08/2019,432,n,9.5,2019
-16.10953,136.62982,01/08/2019,432,n,9.5,2019
-15.77597,137.07817,01/08/2019,432,n,5.1,2019
-14.92647,144.91653,01/08/2019,432,n,5,2019
-16.14354,136.65428,01/08/2019,432,n,11.2,2019
-16.90311,122.7678,01/08/2019,432,n,4.7,2019
-15.75961,137.07156,01/08/2019,432,n,5,2019
-14.85628,144.31123,01/08/2019,432,n,0.9,2019
-15.78614,137.07988,01/08/2019,432,n,6,2019
-15.78673,137.07614,01/08/2019,432,n,6,2019
-16.11623,136.63094,01/08/2019,432,n,4.2,2019
-15.36382,142.24768,01/08/2019,432,n,10.6,2019
-14.86316,144.32785,01/08/2019,432,n,16,2019
-15.76039,137.0448,01/08/2019,432,n,20.2,2019
-14.86368,144.40913,01/08/2019,432,n,12.1,2019
-16.23882,136.75688,01/08/2019,432,l,2.7,2019
-15.71845,143.23355,01/08/2019,432,n,7.3,2019
-15.00678,144.6666,01/08/2019,432,n,4.9,2019
-15.65107,142.12788,01/08/2019,432,n,4.6,2019
-16.1101,136.62616,01/08/2019,432,n,25,2019
-15.76799,137.08452,01/08/2019,432,l,3.2,2019
-16.11728,136.64615,01/08/2019,432,n,17.1,2019
-16.14437,136.71471,01/08/2019,432,n,12.6,2019
-15.31192,142.22826,01/08/2019,432,l,6,2019
-14.91842,144.84491,01/08/2019,432,n,4.2,2019
-14.89976,144.85506,01/08/2019,432,n,3.4,2019
-15.00288,144.66695,01/08/2019,432,n,5.8,2019
-14.9938,144.92374,01/08/2019,432,n,2.6,2019
-14.95932,144.90157,01/08/2019,432,n,2.8,2019
-16.1582,136.62665,01/08/2019,432,n,6.6,2019
-12.5861,134.06837,01/08/2019,433,n,6.4,2019
-13.24029,142.00751,01/08/2019,433,n,13.8,2019
-12.95991,135.89577,01/08/2019,433,n,35.3,2019
-15.19705,131.32237,01/08/2019,433,n,9.5,2019
-12.88515,132.91843,01/08/2019,433,n,35.2,2019
-13.63739,143.52084,01/08/2019,433,n,3.9,2019
-12.98193,136.40483,01/08/2019,433,n,3.8,2019
-12.42196,131.1739,01/08/2019,433,n,20.4,2019
-15.40828,130.74782,01/08/2019,433,n,4.7,2019
-15.45045,130.72476,01/08/2019,433,l,10.1,2019
-15.12638,131.13304,01/08/2019,433,l,5.5,2019
-14.6909,126.77669,01/08/2019,433,n,23.7,2019
-12.78113,133.86447,01/08/2019,433,n,3.4,2019
-15.11683,130.48868,01/08/2019,433,n,4.9,2019
-14.65823,126.8887,01/08/2019,433,l,1.8,2019
-15.46007,130.54071,01/08/2019,433,n,9.1,2019
-12.71099,136.3756,01/08/2019,433,n,3.5,2019
