latitude,longitude,acq_date,acq_time,confidence,frp
-33.21706,150.06241,21/12/2019,1442,n,3.9
-12.3652,136.86691,20/11/2019,448,n,6.4
-32.6921,150.49144,12/10/2019,1448,n,3.0
-14.3084,135.48401,09/10/2019,343,n,6.8
-35.49208,147.92815,30/12/2019,1512,n,21.6
-30.02369,152.49724,10/09/2019,248,n,3.0
-19.45965,143.98024,09/12/2019,443,n,6.0
-12.98259,130.3372,09/10/2019,1631,h,5.8
-13.49093,132.18924,16/09/2019,511,n,4.1
-18.40065,142.73201,17/12/2019,442,n,7.4
-24.38241,129.13007,30/12/2019,536,n,19.0
-32.5171,121.92532,01/01/2020,1754,n,8.1
-13.46196,132.18158,16/09/2019,511,n,20.5
-29.4721,152.37483,26/11/2019,1548,n,0.6
-38.07757,141.81683,21/12/2019,1442,n,1.5
-32.59444,150.25104,27/12/2019,1424,n,2.7
-13.03274,143.17607,15/11/2019,442,n,6.8
-29.1873,151.42276,15/11/2019,1412,n,1.1
-12.40374,136.68063,24/11/2019,336,n,6.0
-29.3105,151.73068,11/09/2019,312,n,94.8
-30.16191,152.58261,11/10/2019,1406,n,1.2
-35.68892,147.88708,20/09/2019,349,l,24.1
-30.9983,151.95967,11/10/2019,1406,n,2.1
-16.9325,143.3624,10/11/2019,400,h,13.2
-26.30361,150.44264,29/12/2019,1530,n,1.4
-16.54833,122.86099,09/09/2019,1651,n,12.8
-33.221,150.85559,28/11/2019,354,n,13.1
-24.22129,150.91768,12/09/2019,348,l,6.6
-30.78464,152.48466,15/11/2019,1554,n,3.7
-29.11432,152.48624,11/10/2019,1406,n,4.2
-35.20404,150.1263,19/12/2019,1518,n,20.0
-14.85926,126.32836,24/11/2019,512,n,9.3
-24.0687,149.06868,14/10/2019,300,h,15.6
-35.50577,147.92738,30/12/2019,1512,n,53.1
-32.07961,121.43818,21/12/2019,1624,n,6.6
-33.07592,123.4266,14/12/2019,1654,n,2.0
-18.43409,144.7186,12/09/2019,348,h,10.1
-12.89105,130.52681,22/10/2019,536,n,16.7
-35.26869,150.10316,19/12/2019,1518,n,19.9
-37.63221,147.82819,25/12/2019,1506,n,1.2
-31.34414,151.9698,29/11/2019,1454,n,3.3
-30.09486,152.34296,09/10/2019,1454,n,4.2
-35.55584,149.94321,27/12/2019,1430,n,2.9
-25.30588,130.09052,28/12/2019,1548,h,69.5
-28.71456,127.38976,27/10/2019,1654,n,1.4
-36.25317,149.89243,31/12/2019,1454,n,1.0
-34.24398,150.43835,27/12/2019,1430,n,1.0
-30.86815,152.67944,15/11/2019,1412,n,4.4
-14.21384,136.8918,14/10/2019,442,h,26.8
-17.28104,144.08913,29/12/2019,418,n,5.2
-29.46383,152.19438,18/12/2019,1536,n,0.7
-12.29045,132.8484,13/09/2019,427,n,12.5
-31.29925,152.7892,11/09/2019,1424,n,4.4
-15.75888,135.5768,23/12/2019,430,n,7.3
-15.76302,129.61421,20/11/2019,448,n,17.0
-12.20507,134.67578,14/11/2019,1612,n,0.5
-15.51837,144.46411,19/12/2019,406,n,11.3
-36.06062,147.7686,30/12/2019,1512,n,9.4
-32.28671,121.70222,19/12/2019,1700,n,1.6
-29.76507,152.40718,15/09/2019,344,n,6.5
-16.02433,142.40475,18/12/2019,424,n,3.8
-14.46377,131.02148,18/10/2019,506,n,40.9
-12.83516,133.29427,13/12/2019,418,n,10.9
-32.72736,150.1441,23/12/2019,424,n,2.9
-37.42211,147.72928,24/12/2019,406,n,3.1
-16.14181,128.86639,28/12/2019,436,n,7.0
-31.09306,151.94054,20/11/2019,306,n,4.2
-31.48498,152.3195,11/12/2019,1512,n,4.5
-31.35765,152.21834,15/11/2019,1412,n,2.8
-31.40812,152.0686,31/12/2019,1454,n,1.2
-29.1045,153.13853,10/09/2019,1406,n,1.3
-13.36578,132.37685,27/09/2019,505,n,8.3
-28.47349,152.45859,20/12/2019,1500,n,0.7
-35.37663,150.16731,12/09/2019,1506,n,1.3
-29.20667,152.42975,13/11/2019,1454,n,2.7
-34.20095,150.12015,12/10/2019,1448,n,4.4
-33.8804,150.33905,14/12/2019,1512,n,1.2
-31.34977,121.19377,20/11/2019,1600,n,1.6
-27.39317,150.87076,15/12/2019,1448,n,1.5
-24.27551,130.71593,20/11/2019,448,h,2.2
-37.76111,149.27551,01/01/2020,1436,n,1.4
-33.25615,150.5535,20/11/2019,1424,n,2.1
-32.96966,149.93436,28/12/2019,430,h,6.6
-26.29401,150.4418,28/12/2019,1548,n,2.2
-31.37737,151.79459,17/12/2019,254,n,7.3
-31.6032,123.97557,11/10/2019,1730,n,0.9
-15.93049,125.5145,31/10/2019,1712,n,5.1
-31.3524,152.07527,29/12/2019,412,n,8.3
-30.63218,152.30525,19/11/2019,1442,n,2.0
-33.13284,150.25594,31/12/2019,336,n,8.0
-26.83069,130.54372,27/10/2019,536,n,101.4
-21.50603,128.99359,20/11/2019,448,l,14.3
-34.07859,150.15677,21/12/2019,1442,n,1.9
-30.64486,152.67503,17/10/2019,1500,n,1.9
-31.53264,152.2569,15/11/2019,1554,n,6.0
-29.34367,152.04018,16/12/2019,1430,n,3.2
-18.82763,124.37277,15/11/2019,1554,n,6.4
-14.43645,127.40736,24/12/2019,412,n,12.4
-31.40436,123.89925,28/10/2019,1636,n,3.8
-13.20975,134.61871,08/11/2019,446,n,4.2
-20.71423,120.32164,21/12/2019,506,h,60.1
-33.11813,151.03281,12/09/2019,1506,n,2.3
-31.72216,152.06648,19/11/2019,1442,n,2.0
-12.1513,133.49298,10/12/2019,342,n,6.4
-35.65498,149.89388,31/12/2019,1454,n,1.7
-16.37104,125.30083,23/11/2019,530,n,5.3
-15.51445,128.78429,27/11/2019,418,n,27.2
-32.66088,150.39897,15/12/2019,1454,n,3.6
-30.0932,152.49425,13/11/2019,336,n,4.0
-13.17611,134.42871,24/10/2019,454,h,13.2
-32.34623,123.51096,01/01/2020,1612,n,8.2
-32.80241,150.18161,18/12/2019,1354,n,3.8
